cdt_var,dap_path,var_path,var_name,nc_longname,nc_name,nc_units,units_fun,units_args
tair,M2T1NXSLV,tavg1_2d_slv_Nx,T2M,Air temperature at 2-meter,tair,degC,-,273.15
wind,M2T1NXSLV,tavg1_2d_slv_Nx,U2M,Eastward wind at 2-meter,u2m,m/s,,
,,,V2M,Northward wind at 2-meter,v2m,m/s,,
,,,U10M,Eastward wind at 10-meter,u10m,m/s,,
,,,V10M,Northward wind at 10-meter,v10m,m/s,,
,,,U50M,Eastward wind at 50 meters,u50m,m/s,,
,,,V50M,Northward wind at 50 meters,v50m,m/s,,
hum,M2T1NXSLV,tavg1_2d_slv_Nx,T2M,Air temperature at 2-meter,t2m,degC,,
,,,PS,Surface pressure,ps,hPa,,
,,,T2MDEW,Dew point temperature at 2-meter,t2mdew,degC,,
,,,T2MWET,Wet bulb temperature at 2-meter,t2mwet,degC,,
,,,QV2M,Specific humidity at 2-meter,qv2m,kg/kg,,
,,,,Relative humidity at 2-meter,rh2m,%,,
pres,M2T1NXSLV,tavg1_2d_slv_Nx,PS,Surface pressure,pres,hPa,/,100
prmsl,M2T1NXSLV,tavg1_2d_slv_Nx,SLP,Sea level pressure,prmsl,hPa,/,100
cloud,M2T1NXRAD,tavg1_2d_rad_Nx,CLDHGH,Cloud area fraction for high clouds,cldhgh,fraction,,
,,,CLDLOW,Cloud area fraction for low clouds,cldlow,fraction,,
,,,CLDMID,Cloud area fraction for middle clouds,cldmid,fraction,,
,,,CLDTOT,Total cloud area fraction,cldtot,fraction,,
rad_avg,M2T1NXRAD,tavg1_2d_rad_Nx,LWGABCLR,Surface absorbed longwave radiation assuming clear sky,lwgabclr,W/m2,,
,,,LWGABCLRCLN,Surface absorbed longwave radiation assuming clear sky and no aerosol,lwgabclrcln,W/m2,,
,,,LWGNTCLR,Surface net downward longwave flux assuming clear sky,lwgntclr,W/m2,,
,,,LWGNTCLRCLN,Surface net downward longwave flux assuming clear sky and no aerosol,lwgntclrcln,W/m2,,
,,,LWTUPCLR,Upwelling longwave flux at TOA assuming clear sky,lwtupclr,W/m2,,
,,,LWTUPCLRCLN,Upwelling longwave flux at TOA assuming clear sky and no aerosol,lwtupclrcln,W/m2,,
,,,SWGDNCLR,Surface incoming shortwave flux assuming clear sky,swgdnclr,W/m2,,
,,,SWGNTCLR,Surface net downward shortwave flux assuming clear sky,swgntclr,W/m2,,
,,,SWGNTCLRCLN,Surface net downward shortwave flux assuming clear sky and no aerosol,swgntclrcln,W/m2,,
,,,SWTNTCLR,TOA net downward shortwave flux assuming clear sky,swtntclr,W/m2,,
,,,SWTNTCLRCLN,TOA net downward shortwave flux assuming clear sky and no aerosol,swtntclrcln,W/m2,,
,,,LWGAB,Surface absorbed longwave radiation,lwgab,W/m2,,
,,,LWGEM,Longwave flux emitted from surface,lwgem,W/m2,,
,,,LWGNT,Surface net downward longwave flux,lwgnt,W/m2,,
,,,LWTUP,Upwelling longwave flux at TOA,lwtup,W/m2,,
,,,SWGDN,Surface incoming shortwave flux,swgdn,W/m2,,
,,,SWGNT,Surface net downward shortwave flux,swgnt,W/m2,,
,,,SWGNTCLN,Surface net downward shortwave flux assuming no aerosol,swgntcln,W/m2,,
,,,SWTDN,TOAincoming shortwave flux,swtdn,W/m2,,
,,,SWTNT,TOA net downward shortwave flux,swtnt,W/m2,,
,,,SWTNTCLN,TOA net downward shortwave flux assuming no aerosol,swtntcln,W/m2,,
prcp,M2T1NXFLX,tavg1_2d_flx_Nx,PRECTOT,Total precipitation from atm model physics,prectot,mm,*,3600
,,,PRECTOTCORR,Bias corrected total precipitation,prectotcorr,mm,,
,,,PGENTOT,Total column production of precipitation,pgentot,mm,,
,,,PREVTOT,Total column re-evaporation/sublimation of precipitation,prevtot,mm,,
,,,PRECCON,Convective precipitation,preccon,mm,,
,,,PRECANV,Anvil precipitation,precanv,mm,,
,,,PRECLSC,Nonanvil large scale precipitation,preclsc,mm,,
evp,M2T1NXFLX,tavg1_2d_flx_Nx,EVAP,Surface evaporation,evp,mm,*,3600
tsg,M2T1NXFLX,tavg1_2d_flx_Nx,TSH,Effective surface skin temperature,tsg,degC,-,273.15
heat_avg,M2T1NXFLX,tavg1_2d_flx_Nx,EFLUX,Latent heat flux (positive upward),eflux,W/m2,,
,,,HFLUX,Sensible heat flux (positive upward),hflux,W/m2,,
ghflx,M2T1NXFLX,tavg1_2d_flx_Nx,GHTSKIN,Ground heating for skin temperature,ghflx,W/m2,,
